Compounds,crg
Yb0.25Lu0.25Tm0.25Er0.25Ho0.25Dy0.25Gd0.25Sm0.25Si2O7,8.26
Yb0.5Sc0.5Er0.5Tm0.5Si2O7,28.9
Yb0.4Tm0.4Lu0.4Sc0.4Er0.4Si2O7,65
Gd0.6667Sc0.6667Yb0.6667Si2O7,13.15
Sc0.5Er0.5Yb0.5Y0.5Si2O7,29
Sc0.4Ho0.4Er0.4Yb0.4Lu0.4Si2O7,23.7
Yb0.4Tm0.4Lu0.4Sc0.4Gd0.4Si2O7,50.5
Ho0.5Er0.5Dy0.5Sc0.5Si2O7,7.29
Yb0.4Y0.4Lu0.4Sc0.4Gd0.4Si2O7,0.76
Gd0.5Sc0.5Yb0.5Y0.5Si2O7,10.39
Lu0.2857Yb0.2857Sc0.2857Er0.2857Y0.2857Ho0.2857Dy0.2857Si2O7,3.2
Gd0.4Sc0.4Er0.4Yb0.4Y0.4Si2O7,60.1
Yb0.6667Lu0.6667Tm0.6667Si2O7,15.36
Er0.5Tm0.5Yb0.5Lu0.5Si2O7,1.5
Lu0.25Yb0.25Sc0.25Er0.25Y0.25Ho0.25Dy0.25Tb0.25Si2O7,2.3
Ho0.4Er0.4Tm0.4Yb0.4Lu0.4Si2O7,0.71
Yb0.5Lu0.5Ho0.5Er0.5Si2O7,2.9
Lu0.3333Yb0.3333Tm0.3333Er0.3333Ho0.3333Y0.3333Si2O7,4.09
Y0.5Er0.5Tm0.5Yb0.5Si2O7,35.7
Yb0.4Y0.4Lu0.4Ho0.4Er0.4Si2O7,3.11
Yb1Y1Si2O7,9.19
Dy0.5Ho0.5Tm0.5Yb0.5Si2O7,4.3
Ho0.5Er0.5Dy0.5Lu0.5Si2O7,6.96
Gd0.4Ho0.4Er0.4Yb0.4Lu0.4Si2O7,22.4
Yb0.2857Lu0.2857Tm0.2857Er0.2857Ho0.2857Dy0.2857Gd0.2857Si2O7,7.62
Ho0.5Er0.5Dy0.5Yb0.5Si2O7,6.57
Ho0.5Er0.5Dy0.5Tm0.5Si2O7,6.52
Gd0.6667Er0.6667Yb0.6667Si2O7,44.5
Gd0.5Er0.5Yb0.5Y0.5Si2O7,31.1
Ho0.5Er0.5Dy0.5Y0.5Si2O7,8.6
