Compounds,delta_S,r,delta_r,mass,delta_mass,specific,delta_specific,vaporization,delta_vaporization,fusion,delta_fusion,electronegativity,delta_electronegativity,density_re,delta_density_re,modulus_re,delta_modulus_re,Tm_re,delta_Tm_re,energy,delta_energy,formation,delta_formation,enthalpy,delta_enthalpy,lambda,delta_lambda,modulus_reo,delta_modulus_reo,Tm_reo,delta_Tm_reo,density_reo,delta_density_reo,CFS,delta_CFS
Yb0.1Tm0.1Er0.1Y1.7Si2O7,8.43334,0.23577,0.29043,23.47582,35.34330,179.52727,230.96242,130.31818,139.63706,11.29273,16.62228,0.56664,0.63259,1.34164,1.74975,25.60909,32.39675,528.02636,561.55557,2.61158,2.81737,-513.73636,621.08667,-486.54545,590.17219,0.26799,0.32258,40.04545,61.10721,748.55455,817.00027,1.49618,1.89954,5.22398,8.45655
Yb0.1Tm0.1Er0.1Y1.7Si1O5,8.70585,0.27419,0.31447,28.76862,38.91125,158.10000,205.51091,134.31250,139.98905,9.25250,14.58515,0.54162,0.58712,1.55350,1.91295,22.71250,28.81786,549.28625,566.31576,2.57196,2.68409,-592.52500,670.82327,-562.00000,637.74054,0.30849,0.34818,50.43750,66.61481,815.13750,855.58359,1.72600,2.06865,4.05798,7.40601
Yb0.1Tm0.1Er0.2Y1.6Si2O7,8.61601,0.23568,0.29027,24.18812,37.09527,178.34545,231.26824,129.45455,138.89315,11.37000,16.60883,0.56682,0.63268,1.38340,1.85494,25.63636,32.39723,527.76273,561.25142,2.61059,2.81670,-514.58182,622.59331,-487.27273,591.46868,0.26735,0.32152,39.90909,60.85658,747.95455,816.15338,1.52918,1.97366,5.22474,8.45612
Yb0.1Tm0.1Er0.2Y1.6Si1O5,8.95703,0.27406,0.31429,29.74804,40.88820,156.47500,205.68947,133.12500,139.00834,9.35875,14.58900,0.54188,0.58726,1.61093,2.03507,22.75000,28.82509,548.92375,565.91927,2.57059,2.68308,-593.68750,672.52927,-563.00000,639.20644,0.30760,0.34699,50.25000,66.34492,814.31250,854.56756,1.77138,2.15425,4.05901,7.40561
Yb0.1Tm0.1Er0.3Y1.5Si2O7,8.75441,0.23559,0.29011,24.90042,38.74672,177.16364,231.56378,128.59091,138.13640,11.44727,16.59478,0.56700,0.63277,1.42516,1.95301,25.66364,32.39767,527.49909,560.94690,2.60959,2.81603,-515.42727,624.09444,-488.00000,592.76087,0.26670,0.32046,39.77273,60.60441,747.35455,815.30488,1.56218,2.04423,5.22549,8.45569
Yb0.1Tm0.1Er0.3Y1.5Si1O5,9.14733,0.27394,0.31411,30.72745,42.73741,154.85000,205.84703,131.93750,138.00405,9.46500,14.59159,0.54212,0.58741,1.66835,2.14777,22.78750,28.83225,548.56125,565.52212,2.56922,2.68206,-594.85000,674.22770,-564.00000,640.66645,0.30671,0.34580,50.06250,66.07306,813.48750,853.54902,1.81675,2.23509,4.06005,7.40521
Yb0.1Tm0.1Er0.4Y1.4Si2O7,8.86209,0.23550,0.28995,25.61272,40.31002,175.98182,231.84909,127.72727,137.36659,11.52455,16.58013,0.56718,0.63285,1.46693,2.04499,25.69091,32.39808,527.23545,560.64202,2.60859,2.81536,-516.27273,625.59010,-488.72727,594.04880,0.26605,0.31939,39.63636,60.35068,746.75455,814.45479,1.59518,2.11159,5.22625,8.45526
Yb0.1Tm0.1Er0.4Y1.4Si1O5,9.29538,0.27381,0.31394,31.70686,44.47483,153.22500,205.98364,130.75000,136.97568,9.57125,14.59292,0.54238,0.58756,1.72578,2.25247,22.82500,28.83932,548.19875,565.12431,2.56785,2.68105,-596.01250,675.91861,-565.00000,642.12061,0.30582,0.34460,49.87500,65.79922,812.66250,852.52797,1.86212,2.31165,4.06109,7.40481
Yb0.1Tm0.1Er0.5Y1.3Si2O7,8.94526,0.23541,0.28979,26.32502,41.79505,174.80000,232.12420,126.86364,136.58351,11.60182,16.56488,0.56736,0.63294,1.50869,2.13168,25.71818,32.39845,526.97182,560.33676,2.60760,2.81469,-517.11818,627.08032,-489.45455,595.33249,0.26541,0.31832,39.50000,60.09538,746.15455,813.60307,1.62818,2.17605,5.22700,8.45483
Yb0.1Tm0.1Er0.5Y1.3Si1O5,9.40974,0.27369,0.31376,32.68628,46.11309,151.60000,206.09934,129.56250,135.92266,9.67750,14.59299,0.54262,0.58771,1.78320,2.35023,22.86250,28.84632,547.83625,564.72585,2.56648,2.68003,-597.17500,677.60206,-566.00000,643.56896,0.30494,0.34339,49.68750,65.52336,811.83750,851.50439,1.90750,2.38435,4.06212,7.40441
Yb0.1Tm0.1Er0.6Y1.2Si2O7,9.00739,0.23532,0.28963,27.03732,43.20989,173.61818,232.38915,126.00000,135.78693,11.67909,16.54902,0.56755,0.63303,1.55045,2.21368,25.74545,32.39878,526.70818,560.03114,2.60660,2.81402,-517.96364,628.56516,-490.18182,596.61196,0.26476,0.31724,39.36364,59.83848,745.55455,812.74975,1.66118,2.23786,5.22775,8.45440
Yb0.1Tm0.1Er0.6Y1.2Si1O5,9.49518,0.27356,0.31358,33.66569,47.66242,149.97500,206.19417,128.37500,134.84443,9.78375,14.59181,0.54288,0.58786,1.84063,2.44190,22.90000,28.85323,547.47375,564.32673,2.56511,2.67901,-598.33750,679.27810,-567.00000,645.01153,0.30405,0.34218,49.50000,65.24545,811.01250,850.47829,1.95288,2.45354,4.06316,7.40401
Yb0.1Tm0.1Er0.7Y1.1Si2O7,9.05057,0.23523,0.28947,27.74962,44.56122,172.43636,232.64397,125.13636,134.97661,11.75636,16.53255,0.56773,0.63311,1.59222,2.29151,25.77273,32.39907,526.44455,559.72515,2.60560,2.81335,-518.80909,630.04463,-490.90909,597.88725,0.26412,0.31616,39.22727,59.57995,744.95455,811.89480,1.69418,2.29724,5.22851,8.45397
Yb0.1Tm0.1Er0.7Y1.1Si1O5,9.55454,0.27344,0.31340,34.64510,49.13123,148.35000,206.26815,127.18750,133.74038,9.89000,14.58937,0.54313,0.58801,1.89805,2.52812,22.93750,28.86006,547.11125,563.92694,2.56374,2.67799,-599.50000,680.94679,-568.00000,646.44837,0.30316,0.34095,49.31250,64.96548,810.18750,849.44964,1.99825,2.51950,4.06420,7.40361
Yb0.1Tm0.1Er0.8Y1.0Si2O7,9.07603,0.23514,0.28931,28.46192,45.85465,171.25455,232.88871,124.27273,134.15229,11.83364,16.51548,0.56791,0.63320,1.63398,2.36557,25.80000,32.39933,526.18091,559.41878,2.60461,2.81267,-519.65455,631.51879,-491.63636,599.15838,0.26347,0.31507,39.09091,59.31979,744.35455,811.03822,1.72718,2.35435,5.22926,8.45354
