Compounds,crg,delta_S,r,delta_r,mass,delta_mass,specific,delta_specific,vaporization,delta_vaporization,fusion,delta_fusion,electronegativity,delta_electronegativity,density_re,delta_density_re,modulus_re,delta_modulus_re,Tm_re,delta_Tm_re,energy,delta_energy,formation,delta_formation,enthalpy,delta_enthalpy,lambda,delta_lambda,modulus_reo,delta_modulus_reo,Tm_reo,delta_Tm_reo,density_reo,delta_density_reo,CFS,delta_CFS
Yb0.25Lu0.25Tm0.25Er0.25Ho0.25Dy0.25Gd0.25Sm0.25Si2O7,8.26,10.68861,0.2147,0.2818,31.67193,54.03934,156.54545,236.34514,109.81818,129.14629,11.50227,16.67606,0.53886,0.64044,1.78827,2.74667,24.70455,32.82115,478.06591,549.08654,2.43855,2.82425,-482.82273,629.99273,-456.09091,596.54416,0.24975,0.32462,34.34091,55.75683,692.72727,807.17731,1.85114,2.72639,5.14614,8.48375
Yb0.5Sc0.5Er0.5Tm0.5Si2O7,28.9,9.64082,0.22636,0.2751,30.297,51.60614,176.77273,242.19447,111.31818,124.29263,11.87273,16.51319,0.57045,0.63549,1.69368,2.51881,26.22727,32.61879,502.63182,546.72169,2.62338,2.8265,-518.43636,630.13497,-487.45455,593.20066,0.26814,0.32396,40.27273,62.08933,747.63636,816.0046,1.85773,2.62373,5.32159,8.40761
Yb0.4Tm0.4Lu0.4Sc0.4Er0.4Si2O7,65,9.97813,0.22695,0.2759,31.62131,53.27164,172.83636,241.13268,117.2,130.58835,12.12364,16.47425,0.57164,0.63584,1.79753,2.69491,26.36364,32.58451,513.99636,557.50122,2.59243,2.80891,-522.34545,636.96768,-492,601.14739,0.26724,0.32219,40.83636,63.10932,750.94545,820.85704,1.92509,2.72816,5.31353,8.41103
Gd0.6667Sc0.6667Yb0.6667Si2O7,13.15,9.20608,0.22734,0.27776,27.84973,48.06589,187.33454,242.15783,112.72862,126.32082,11.1697,16.70926,0.56728,0.63442,1.48162,2.08199,25.81833,32.71196,479.69768,525.39344,2.63159,2.8323,-511.99448,618.61793,-480.19368,580.22492,0.28304,0.35104,39.94069,61.82247,751.10606,820.9712,1.72065,2.39991,5.32102,8.41077
Sc0.5Er0.5Yb0.5Y0.5Si2O7,29,9.64082,0.22741,0.27706,26.65936,45.43454,183.04545,240.49476,117.22727,130.23625,11.62727,16.58923,0.56909,0.63484,1.47332,2.10883,26.04545,32.6175,501.76818,545.59309,2.62488,2.82751,-511.93636,618.35346,-481.54545,582.32087,0.26814,0.32396,40.5,62.514,747.27273,815.47373,1.69455,2.36888,5.31264,8.41282
Sc0.4Ho0.4Er0.4Yb0.4Lu0.4Si2O7,23.7,9.97813,0.22782,0.27753,31.47571,52.95554,173.01818,241.04182,117.74545,130.8607,12.13091,16.47295,0.57091,0.63549,1.77844,2.65112,26.18182,32.58726,511.41455,554.38728,2.58651,2.80498,-520.30909,633.23252,-490,597.44623,0.26869,0.32481,40.47273,62.48116,750.83636,820.69917,1.91818,2.71455,5.30607,8.41536
Yb0.4Tm0.4Lu0.4Sc0.4Gd0.4Si2O7,50.5,9.97813,0.22869,0.2793,31.25735,52.50911,175.45455,240.25196,117.92727,131.15863,11.76364,16.57434,0.57018,0.63519,1.75516,2.60577,26.14545,32.59765,507.30545,550.62524,2.59397,2.80995,-522.30909,636.90255,-491.81818,600.81988,0.27636,0.33903,40.47273,62.53933,753.70909,824.72281,1.88036,2.64641,5.29982,8.41931
Ho0.5Er0.5Dy0.5Sc0.5Si2O7,7.29,9.64082,0.22945,0.28085,29.63568,50.0645,177.59091,241.7587,117.45455,126.10556,12.03636,16.41634,0.575,0.63697,1.75986,2.62673,26.45455,32.52387,526.36364,556.18757,2.60165,2.81245,-519.61818,631.86899,-488.13636,594.06508,0.27586,0.3373,39.59091,60.90125,747.09091,815.24253,1.82318,2.54651,5.29523,8.42293
Yb0.4Y0.4Lu0.4Sc0.4Gd0.4Si2O7,0.76,9.97813,0.22953,0.28084,28.34724,47.86127,180.47273,238.94897,122.65455,135.35043,11.56727,16.63334,0.56909,0.63467,1.57887,2.3066,26,32.59615,506.61455,549.73874,2.59517,2.81078,-517.10909,627.658,-487.09091,592.30874,0.27636,0.33903,40.65455,62.87603,753.41818,824.30616,1.74982,2.44995,5.29265,8.42345
Gd0.5Sc0.5Yb0.5Y0.5Si2O7,10.39,9.64082,0.22959,0.28128,26.20441,44.22688,186.31818,239.1546,118.13636,130.94929,11.17727,16.68952,0.56727,0.63401,1.42036,1.94922,25.77273,32.62918,493.40455,536.46052,2.6268,2.82876,-511.89091,618.26834,-481.31818,581.89151,0.27955,0.34465,40.04545,61.78924,750.72727,820.35774,1.63864,2.24035,5.2955,8.42317
Lu0.2857Yb0.2857Sc0.2857Er0.2857Y0.2857Ho0.2857Dy0.2857Si2O7,3.2,10.48658,0.23057,0.2822,30.47065,50.73206,172.54485,238.72756,119.89446,131.89316,11.85711,16.53062,0.56986,0.63472,1.72956,2.5539,26.02582,32.52943,515.05412,554.31039,2.58669,2.80402,-519.86494,632.27639,-490.03968,597.16102,0.27088,0.32849,39.92078,61.33704,748.66027,817.52503,1.86125,2.61392,5.27866,8.42963
Gd0.4Sc0.4Er0.4Yb0.4Y0.4Si2O7,60.1,9.97813,0.23058,0.2827,28.06695,47.12381,180.98182,238.66174,117.92727,129.89102,11.49091,16.62377,0.568,0.63411,1.55069,2.22079,25.85455,32.5802,500.57818,541.37465,2.61997,2.82398,-515.21818,624.10093,-484.90909,588.15112,0.27487,0.33683,39.56364,60.76971,748.10909,816.61569,1.72145,2.37721,5.2832,8.42876
Yb0.6667Lu0.6667Tm0.6667Si2O7,15.36,9.20608,0.23067,0.28148,36.43766,58.0589,157.45453,235.60901,115.27418,132.16077,11.94549,16.57467,0.56485,0.6325,1.98315,2.8813,25.69711,32.53044,501.1531,552.7023,2.56484,2.79107,-528.90426,647.94119,-500.49754,615.02962,0.26425,0.31617,40.06191,61.33734,751.28789,821.25994,2.12976,2.96846,5.26847,8.43156
Er0.5Tm0.5Yb0.5Lu0.5Si2O7,1.5,9.64082,0.23164,0.28319,36.20659,57.61721,158,235.38672,115.72727,130.5466,12.14545,16.50243,0.56636,0.63301,2.00532,2.90778,25.81818,32.49418,508.17727,554.52663,2.57176,2.79449,-528.8,647.60859,-500.18182,614.32141,0.26223,0.3128,39.45455,60.165,747.86364,816.35655,2.11045,2.93242,5.25986,8.43642
Lu0.25Yb0.25Sc0.25Er0.25Y0.25Ho0.25Dy0.25Tb0.25Si2O7,2.3,10.68861,0.23182,0.28437,30.91291,51.08607,171.25,238.1498,119.77273,131.28695,11.76136,16.55205,0.56909,0.63428,1.75316,2.57289,25.925,32.51506,513.63409,551.56426,2.58191,2.8006,-521.23182,634.59686,-491.31818,599.2856,0.27043,0.3276,39.52273,60.56246,747.54545,815.87963,1.86864,2.60899,5.26702,8.43584
Ho0.4Er0.4Tm0.4Yb0.4Lu0.4Si2O7,0.71,9.97813,0.23262,0.28494,35.984,57.19182,158.21818,235.2945,115.27273,129.08474,12.16,16.46681,0.56691,0.63313,2.0088,2.90438,25.74545,32.47305,511.56,554.57249,2.5728,2.79444,-528.52727,647.03187,-499.81818,613.58219,0.26505,0.31787,39.09091,59.44609,748.4,817.05493,2.09055,2.89582,5.25138,8.44122
Yb0.5Lu0.5Ho0.5Er0.5Si2O7,2.9,9.64082,0.23273,0.28515,36.02459,57.27557,158.22727,235.29379,116.40909,130.89903,12.15455,16.50079,0.56545,0.63256,1.98145,2.85982,25.59091,32.49111,504.95,550.55151,2.56436,2.78945,-526.25455,643.05368,-497.68182,609.84462,0.26405,0.31621,39,59.32193,747.72727,816.15727,2.10182,2.91749,5.25055,8.44173
