Feature,Importance
delta_S,0.0003343720194337377
r,0.0002794130232252723
delta_r,0.003186525925638709
mass,1.6592479520274335e-05
delta_mass,0.002334258919963281
specific,0.006866003442881447
delta_specific,0.004552545313566167
vaporization,0.00758256983939616
delta_vaporization,0.019012315151253806
fusion,0.004541727753682591
delta_fusion,0.015651051348966404
electronegativity,0.00010267739317024208
delta_electronegativity,0.0010062887317016697
density_re,0.0008637477305046163
delta_density_re,0.003771674191929939
modulus_re,9.95496875157242e-05
delta_modulus_re,0.2897710663975941
Tm_re,0.006671579655957356
delta_Tm_re,0.008832808900184322
energy,0.026341090248760222
delta_energy,0.28010836428801134
formation,0.0021740354260967355
delta_formation,0.09673003722574021
enthalpy,0.042608714555652724
delta_enthalpy,0.0025977524106848508
lambda,0.031677076969707264
delta_lambda,0.04118977315929664
modulus_reo,6.125023238263042e-05
delta_modulus_reo,0.0003257557541015629
Tm_reo,0.013069538867707496
delta_Tm_reo,0.006234476088623346
density_reo,0.00045794627400931717
delta_density_reo,0.03375210692586711
CFS,4.066121938531163e-05
delta_CFS,0.04715465244788756
